Age, 2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    Less Than One Year ," 1,930 "," 1,950 "," 3,880 "," 2,060 "," 2,210 "," 4,270 "," 2,260 "," 2,330 "," 4,590 "," 2,360 "," 2,420 "," 4,780 "," 2,450 "," 2,650 "," 5,100 "," 2,630 "," 2,740 "," 5,370 "
    1 ," 1,920 "," 1,840 "," 3,760 "," 1,990 "," 1,910 "," 3,900 "," 2,220 "," 2,180 "," 4,400 "," 2,320 "," 2,280 "," 4,600 "," 2,410 "," 2,510 "," 4,920 "," 2,600 "," 2,600 "," 5,200 "
    2 ," 2,020 "," 2,120 "," 4,140 "," 2,080 "," 2,180 "," 4,260 "," 2,330 "," 2,250 "," 4,580 "," 2,460 "," 2,620 "," 5,080 "," 2,630 "," 2,720 "," 5,350 "," 2,800 "," 2,910 "," 5,710 "
    3 ," 1,860 "," 1,840 "," 3,700 "," 1,900 "," 1,880 "," 3,780 "," 2,050 "," 1,950 "," 4,000 "," 2,120 "," 2,090 "," 4,210 "," 2,310 "," 2,360 "," 4,670 "," 2,390 "," 2,440 "," 4,830 "
    4 ," 2,280 "," 2,160 "," 4,440 "," 2,400 "," 2,200 "," 4,600 "," 2,430 "," 2,340 "," 4,770 "," 2,580 "," 2,390 "," 4,970 "," 2,710 "," 2,540 "," 5,250 "," 2,920 "," 2,920 "," 5,840 "
    5 ," 2,060 "," 2,000 "," 4,060 "," 2,140 "," 2,050 "," 4,190 "," 2,280 "," 2,100 "," 4,380 "," 2,330 "," 2,240 "," 4,570 "," 2,470 "," 2,300 "," 4,770 "," 2,530 "," 2,360 "," 4,890 "
    6 ," 2,160 "," 2,150 "," 4,310 "," 2,320 "," 2,300 "," 4,620 "," 2,390 "," 2,340 "," 4,730 "," 2,520 "," 2,370 "," 4,890 "," 2,640 "," 2,500 "," 5,140 "," 2,690 "," 2,620 "," 5,310 "
    7 ," 1,940 "," 1,870 "," 3,810 "," 2,020 "," 1,940 "," 3,960 "," 2,100 "," 2,020 "," 4,120 "," 2,280 "," 2,070 "," 4,350 "," 2,310 "," 2,210 "," 4,520 "," 2,440 "," 2,250 "," 4,690 "
    8 ," 2,230 "," 2,290 "," 4,520 "," 2,310 "," 2,350 "," 4,660 "," 2,390 "," 2,520 "," 4,910 "," 2,560 "," 2,570 "," 5,130 "," 2,720 "," 2,700 "," 5,420 "," 2,840 "," 2,800 "," 5,640 "
    9 ," 1,760 "," 1,790 "," 3,550 "," 1,860 "," 1,880 "," 3,740 "," 1,950 "," 1,970 "," 3,920 "," 2,050 "," 2,040 "," 4,090 "," 2,130 "," 2,120 "," 4,250 "," 2,310 "," 2,170 "," 4,480 "
    10 ," 2,000 "," 1,970 "," 3,970 "," 2,090 "," 2,130 "," 4,220 "," 2,260 "," 2,210 "," 4,470 "," 2,340 "," 2,280 "," 4,620 "," 2,500 "," 2,440 "," 4,940 "," 2,660 "," 2,490 "," 5,150 "
    11 ," 1,490 "," 1,730 "," 3,220 "," 1,600 "," 1,830 "," 3,430 "," 1,600 "," 1,830 "," 3,430 "," 1,720 "," 1,920 "," 3,640 "," 1,820 "," 2,020 "," 3,840 "," 1,920 "," 2,210 "," 4,130 "
    12 ," 1,910 "," 1,890 "," 3,800 "," 2,000 "," 1,970 "," 3,970 "," 2,180 "," 2,140 "," 4,320 "," 2,280 "," 2,210 "," 4,490 "," 2,460 "," 2,290 "," 4,750 "," 2,540 "," 2,440 "," 4,980 "
    13 ," 1,530 "," 1,530 "," 3,060 "," 1,640 "," 1,630 "," 3,270 "," 1,740 "," 1,730 "," 3,470 "," 1,850 "," 1,810 "," 3,660 "," 1,940 "," 1,900 "," 3,840 "," 2,140 "," 1,980 "," 4,120 "
    14 ," 1,700 "," 1,720 "," 3,420 "," 1,790 "," 1,800 "," 3,590 "," 1,960 "," 1,970 "," 3,930 "," 2,060 "," 2,040 "," 4,100 "," 2,220 "," 2,110 "," 4,330 "," 2,300 "," 2,260 "," 4,560 "
    15 ," 1,680 "," 1,620 "," 3,300 "," 1,780 "," 1,620 "," 3,400 "," 1,890 "," 1,730 "," 3,620 "," 2,010 "," 1,830 "," 3,840 "," 2,120 "," 1,930 "," 4,050 "," 2,220 "," 2,020 "," 4,240 "
    16 ," 1,540 "," 1,570 "," 3,110 "," 1,640 "," 1,670 "," 3,310 "," 1,840 "," 1,770 "," 3,610 "," 1,950 "," 1,860 "," 3,810 "," 2,050 "," 1,960 "," 4,010 "," 2,150 "," 2,040 "," 4,190 "
    17 ," 1,180 "," 1,210 "," 2,390 "," 1,300 "," 1,210 "," 2,510 "," 1,420 "," 1,330 "," 2,750 "," 1,430 "," 1,430 "," 2,860 "," 1,540 "," 1,430 "," 2,970 "," 1,650 "," 1,540 "," 3,190 "
    18 ," 1,390 "," 1,430 "," 2,820 "," 1,510 "," 1,520 "," 3,030 "," 1,620 "," 1,620 "," 3,240 "," 1,730 "," 1,790 "," 3,520 "," 1,830 "," 1,890 "," 3,720 "," 2,030 "," 1,970 "," 4,000 "
    19 , 930 ," 1,170 "," 2,100 "," 1,070 "," 1,280 "," 2,350 "," 1,090 "," 1,400 "," 2,490 "," 1,240 "," 1,510 "," 2,750 "," 1,360 "," 1,510 "," 2,870 "," 1,370 "," 1,610 "," 2,980 "
    20 ," 1,140 "," 1,360 "," 2,500 "," 1,270 "," 1,450 "," 2,720 "," 1,400 "," 1,550 "," 2,950 "," 1,530 "," 1,630 "," 3,160 "," 1,640 "," 1,730 "," 3,370 "," 1,740 "," 1,800 "," 3,540 "
    21 , 970 ," 1,030 "," 2,000 "," 1,000 "," 1,160 "," 2,160 "," 1,160 "," 1,180 "," 2,340 "," 1,200 "," 1,300 "," 2,500 "," 1,360 "," 1,310 "," 2,670 "," 1,380 "," 1,430 "," 2,810 "
    22 , 870 ," 1,040 "," 1,910 ", 900 ," 1,140 "," 2,040 "," 1,030 "," 1,160 "," 2,190 "," 1,180 "," 1,270 "," 2,450 "," 1,210 "," 1,380 "," 2,590 "," 1,350 "," 1,480 "," 2,830 "
    23 , 880 ," 1,000 "," 1,880 ", 900 ," 1,110 "," 2,010 "," 1,030 "," 1,130 "," 2,160 "," 1,200 "," 1,250 "," 2,450 "," 1,240 "," 1,380 "," 2,620 "," 1,390 "," 1,390 "," 2,780 "
    24 , 780 , 910 ," 1,690 ", 880 ," 1,010 "," 1,890 ", 890 ," 1,120 "," 2,010 "," 1,020 "," 1,130 "," 2,150 "," 1,160 "," 1,250 "," 2,410 "," 1,200 "," 1,360 "," 2,560 "
    25 , 850 , 880 ," 1,730 ", 860 , 980 ," 1,840 ", 950 ," 1,090 "," 2,040 "," 1,080 "," 1,090 "," 2,170 "," 1,110 "," 1,210 "," 2,320 "," 1,240 "," 1,320 "," 2,560 "
    26 , 670 , 910 ," 1,580 ", 780 , 910 ," 1,690 ", 790 , 920 ," 1,710 ", 910 ," 1,040 "," 1,950 ", 930 ," 1,060 "," 1,990 "," 1,070 "," 1,170 "," 2,240 "
    27 , 630 , 670 ," 1,300 ", 740 , 780 ," 1,520 ", 740 , 800 ," 1,540 ", 750 , 910 ," 1,660 ", 860 , 920 ," 1,780 ", 870 ," 1,030 "," 1,900 "
    28 , 670 , 860 ," 1,530 ", 760 , 960 ," 1,720 ", 760 , 980 ," 1,740 ", 860 ," 1,070 "," 1,930 ", 860 ," 1,170 "," 2,030 ", 950 ," 1,260 "," 2,210 "
    29 , 610 , 730 ," 1,340 ", 730 , 750 ," 1,480 ", 740 , 770 ," 1,510 ", 750 , 900 ," 1,650 ", 870 , 910 ," 1,780 ", 880 ," 1,040 "," 1,920 "
    30 , 590 , 780 ," 1,370 ", 670 , 870 ," 1,540 ", 680 , 900 ," 1,580 ", 760 , 990 ," 1,750 ", 840 ," 1,080 "," 1,920 ", 850 ," 1,160 "," 2,010 "
    31 , 550 , 560 ," 1,110 ", 550 , 700 ," 1,250 ", 560 , 740 ," 1,300 ", 570 , 750 ," 1,320 ", 580 , 770 ," 1,350 ", 710 , 930 ," 1,640 "
    32 , 450 , 570 ," 1,020 ", 540 , 580 ," 1,120 ", 550 , 700 ," 1,250 ", 560 , 720 ," 1,280 ", 650 , 850 ," 1,500 ", 660 , 860 ," 1,520 "
    33 , 610 , 600 ," 1,210 ", 610 , 750 ," 1,360 ", 620 , 780 ," 1,400 ", 630 , 800 ," 1,430 ", 790 , 980 ," 1,770 ", 790 ," 1,010 "," 1,800 "
    34 , 510 , 610 ," 1,120 ", 600 , 710 ," 1,310 ", 610 , 730 ," 1,340 ", 620 , 750 ," 1,370 ", 720 , 880 ," 1,600 ", 730 , 910 ," 1,640 "
    35 , 470 , 580 ," 1,050 ", 470 , 580 ," 1,050 ", 470 , 670 ," 1,140 ", 560 , 680 ," 1,240 ", 560 , 790 ," 1,350 ", 640 , 810 ," 1,450 "
    36 , 370 , 480 , 850 , 490 , 480 , 970 , 490 , 500 , 990 , 500 , 610 ," 1,110 ", 500 , 630 ," 1,130 ", 620 , 650 ," 1,270 "
    37 , 380 , 390 , 770 , 380 , 390 , 770 , 380 , 410 , 790 , 390 , 410 , 800 , 390 , 540 , 930 , 510 , 550 ," 1,060 "
    38 , 410 , 480 , 890 , 400 , 480 , 880 , 400 , 500 , 900 , 510 , 590 ," 1,100 ", 510 , 610 ," 1,120 ", 510 , 610 ," 1,120 "
    39 , 370 , 470 , 840 , 370 , 470 , 840 , 370 , 600 , 970 , 380 , 600 , 980 , 490 , 620 ," 1,110 ", 490 , 620 ," 1,110 "
    40 , 420 , 460 , 880 , 420 , 470 , 890 , 420 , 490 , 910 , 490 , 550 ," 1,040 ", 490 , 570 ," 1,060 ", 560 , 640 ," 1,200 "
    41 , 420 , 290 , 710 , 420 , 290 , 710 , 410 , 440 , 850 , 420 , 440 , 860 , 420 , 460 , 880 , 420 , 460 , 880 
    42 , 380 , 310 , 690 , 380 , 310 , 690 , 380 , 420 , 800 , 470 , 420 , 890 , 470 , 440 , 910 , 470 , 440 , 910 
    43 , 390 , 400 , 790 , 390 , 410 , 800 , 390 , 420 , 810 , 400 , 430 , 830 , 400 , 450 , 850 , 510 , 450 , 960 
    44 , 350 , 360 , 710 , 350 , 360 , 710 , 350 , 370 , 720 , 360 , 380 , 740 , 360 , 390 , 750 , 460 , 400 , 860 
    45 , 340 , 340 , 680 , 340 , 420 , 760 , 330 , 430 , 760 , 420 , 440 , 860 , 420 , 450 , 870 , 420 , 540 , 960 
    46 , 260 , 280 , 540 , 370 , 280 , 650 , 370 , 290 , 660 , 380 , 290 , 670 , 380 , 430 , 810 , 380 , 430 , 810 
    47 , 290 , 300 , 590 , 290 , 300 , 590 , 290 , 310 , 600 , 300 , 310 , 610 , 420 , 320 , 740 , 420 , 330 , 750 
    48 , 310 , 300 , 610 , 310 , 390 , 700 , 400 , 410 , 810 , 420 , 410 , 830 , 420 , 420 , 840 , 420 , 510 , 930 
    49 , 290 , 280 , 570 , 300 , 290 , 590 , 300 , 300 , 600 , 310 , 300 , 610 , 310 , 310 , 620 , 450 , 310 , 760 
    50 , 300 , 260 , 560 , 310 , 260 , 570 , 310 , 330 , 640 , 320 , 330 , 650 , 400 , 340 , 740 , 400 , 350 , 750 
    51 , 280 , 160 , 440 , 280 , 280 , 560 , 290 , 300 , 590 , 300 , 300 , 600 , 310 , 310 , 620 , 310 , 310 , 620 
    52 , 260 , 200 , 460 , 260 , 200 , 460 , 270 , 210 , 480 , 360 , 300 , 660 , 370 , 310 , 680 , 370 , 310 , 680 
    53 , 170 , 170 , 340 , 170 , 170 , 340 , 170 , 180 , 350 , 180 , 180 , 360 , 190 , 190 , 380 , 330 , 330 , 660 
    54 , 210 , 210 , 420 , 210 , 210 , 420 , 210 , 220 , 430 , 230 , 220 , 450 , 230 , 240 , 470 , 240 , 330 , 570 
    55 , 140 , 220 , 360 , 140 , 220 , 360 , 240 , 230 , 470 , 250 , 230 , 480 , 250 , 250 , 500 , 260 , 250 , 510 
    56 , 130 , 250 , 380 , 230 , 250 , 480 , 230 , 250 , 480 , 240 , 250 , 490 , 240 , 260 , 500 , 240 , 370 , 610 
    57 , 160 , 180 , 340 , 160 , 180 , 340 , 160 , 190 , 350 , 170 , 190 , 360 , 170 , 200 , 370 , 170 , 210 , 380 
    58 , 140 , 150 , 290 , 140 , 150 , 290 , 140 , 270 , 410 , 260 , 270 , 530 , 260 , 280 , 540 , 260 , 290 , 550 
    59 , 170 , 180 , 350 , 170 , 180 , 350 , 170 , 190 , 360 , 180 , 190 , 370 , 180 , 200 , 380 , 180 , 200 , 380 
    60 , 160 , 180 , 340 , 220 , 180 , 400 , 220 , 190 , 410 , 230 , 250 , 480 , 230 , 260 , 490 , 230 , 260 , 490 
    61 , 170 , 190 , 360 , 170 , 190 , 360 , 170 , 200 , 370 , 180 , 210 , 390 , 180 , 220 , 400 , 190 , 220 , 410 
    62 , 120 , 140 , 260 , 120 , 140 , 260 , 120 , 150 , 270 , 130 , 150 , 280 , 130 , 160 , 290 , 130 , 160 , 290 
    63 , 170 , 180 , 350 , 170 , 180 , 350 , 170 , 190 , 360 , 180 , 190 , 370 , 180 , 200 , 380 , 190 , 200 , 390 
    64 , 130 , 130 , 260 , 130 , 130 , 260 , 130 , 140 , 270 , 140 , 140 , 280 , 140 , 150 , 290 , 140 , 250 , 390 
    65 , 110 , 100 , 210 , 110 , 100 , 210 , 110 , 110 , 220 , 120 , 180 , 300 , 120 , 190 , 310 , 190 , 190 , 380 
    66 , 140 , 160 , 300 , 140 , 160 , 300 , 140 , 170 , 310 , 150 , 170 , 320 , 140 , 180 , 320 , 140 , 180 , 320 
    67 , 140 , 160 , 300 , 140 , 160 , 300 , 140 , 170 , 310 , 150 , 160 , 310 , 140 , 170 , 310 , 140 , 170 , 310 
    68 , 140 , 150 , 290 , 140 , 140 , 280 , 140 , 150 , 290 , 150 , 150 , 300 , 140 , 160 , 300 , 140 , 160 , 300 
    69 , 150 , 160 , 310 , 150 , 150 , 300 , 140 , 160 , 300 , 150 , 160 , 310 , 150 , 170 , 320 , 150 , 170 , 320 
    70+ , 170 , 590 , 660 , 170 , 630 , 700 , 470 , 360 , 830 , 110 , 650 , 760 , 370 , 160 , 530 , 280 , 120 , 400 
," 55,300 "," 58,200 "," 113,500 "," 58,700 "," 61,600 "," 120,300 "," 62,400 "," 65,200 "," 127,600 "," 66,300 "," 69,100 "," 135,400 "," 70,500 "," 73,000 "," 143,500 "," 74,900 "," 77,300 "," 152,200 "
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
