Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    Less Than One Year ," 4,990 "," 4,510 "," 9,500 "," 5,160 "," 4,950 "," 10,110 "," 5,130 "," 4,950 "," 10,080 "," 5,200 "," 5,030 "," 10,230 "," 5,260 "," 5,110 "," 10,370 "," 5,310 "," 5,070 "," 10,380 "
    1 ," 4,640 "," 4,480 "," 9,120 "," 4,660 "," 4,410 "," 9,070 "," 4,720 "," 4,870 "," 9,590 "," 4,800 "," 4,970 "," 9,770 "," 4,870 "," 4,950 "," 9,820 "," 4,950 "," 5,030 "," 9,980 "
    2 ," 4,490 "," 4,120 "," 8,610 "," 4,510 "," 4,140 "," 8,650 "," 4,540 "," 4,180 "," 8,720 "," 4,600 "," 4,610 "," 9,210 "," 4,650 "," 4,590 "," 9,240 "," 4,730 "," 4,680 "," 9,410 "
    3 ," 4,230 "," 4,000 "," 8,230 "," 4,210 "," 3,990 "," 8,200 "," 4,240 "," 4,020 "," 8,260 "," 4,190 "," 3,970 "," 8,160 "," 4,310 "," 4,370 "," 8,680 "," 4,390 "," 4,450 "," 8,840 "
    4 ," 4,240 "," 3,920 "," 8,160 "," 4,220 "," 3,920 "," 8,140 "," 4,130 "," 3,930 "," 8,060 "," 4,150 "," 3,870 "," 8,020 "," 4,180 "," 3,900 "," 8,080 "," 4,230 "," 4,290 "," 8,520 "
    5 ," 4,190 "," 4,070 "," 8,260 "," 4,250 "," 4,070 "," 8,320 "," 4,150 "," 4,070 "," 8,220 "," 4,150 "," 3,980 "," 8,130 "," 4,180 "," 4,000 "," 8,180 "," 4,120 "," 4,040 "," 8,160 "
    6 ," 4,460 "," 4,080 "," 8,540 "," 4,430 "," 4,020 "," 8,450 "," 4,490 "," 4,020 "," 8,510 "," 4,460 "," 4,010 "," 8,470 "," 4,450 "," 4,000 "," 8,450 "," 4,390 "," 3,940 "," 8,330 "
    7 ," 4,130 "," 4,090 "," 8,220 "," 4,110 "," 4,140 "," 8,250 "," 4,180 "," 4,090 "," 8,270 "," 4,230 "," 4,090 "," 8,320 "," 4,130 "," 4,080 "," 8,210 "," 4,120 "," 3,990 "," 8,110 "
    8 ," 4,230 "," 3,970 "," 8,200 "," 4,290 "," 4,020 "," 8,310 "," 4,370 "," 3,980 "," 8,350 "," 4,330 "," 4,020 "," 8,350 "," 4,390 "," 4,010 "," 8,400 "," 4,370 "," 3,910 "," 8,280 "
    9 ," 3,900 "," 3,650 "," 7,550 "," 3,880 "," 3,720 "," 7,600 "," 3,980 "," 3,690 "," 7,670 "," 4,050 "," 3,740 "," 7,790 "," 4,010 "," 3,690 "," 7,700 "," 4,070 "," 3,690 "," 7,760 "
    10 ," 3,340 "," 3,440 "," 6,780 "," 3,340 "," 3,500 "," 6,840 "," 3,420 "," 3,480 "," 6,900 "," 3,400 "," 3,520 "," 6,920 "," 3,470 "," 3,490 "," 6,960 "," 3,530 "," 3,520 "," 7,050 "
    11 ," 3,400 "," 3,200 "," 6,600 "," 3,510 "," 3,290 "," 6,800 "," 3,510 "," 3,270 "," 6,780 "," 3,610 "," 3,240 "," 6,850 "," 3,590 "," 3,320 "," 6,910 "," 3,680 "," 3,270 "," 6,950 "
