Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    Less Than One Year ," 4,680 "," 4,300 "," 8,980 "," 4,850 "," 4,730 "," 9,580 "," 4,920 "," 4,840 "," 9,760 "," 5,100 "," 4,920 "," 10,020 "," 5,160 "," 5,010 "," 10,170 "," 5,220 "," 5,080 "," 10,300 "
    1 ," 4,130 "," 3,860 "," 7,990 "," 4,150 "," 3,900 "," 8,050 "," 4,300 "," 4,310 "," 8,610 "," 4,380 "," 4,420 "," 8,800 "," 4,460 "," 4,510 "," 8,970 "," 4,550 "," 4,600 "," 9,150 "
    2 ," 4,020 "," 3,750 "," 7,770 "," 4,050 "," 3,770 "," 7,820 "," 4,170 "," 3,810 "," 7,980 "," 4,320 "," 4,220 "," 8,540 "," 4,380 "," 4,310 "," 8,690 "," 4,470 "," 4,390 "," 8,860 "
    3 ," 4,060 "," 3,830 "," 7,890 "," 4,130 "," 3,920 "," 8,050 "," 4,150 "," 3,940 "," 8,090 "," 4,190 "," 3,980 "," 8,170 "," 4,310 "," 4,380 "," 8,690 "," 4,490 "," 4,460 "," 8,950 "
    4 ," 3,870 "," 3,650 "," 7,520 "," 3,860 "," 3,660 "," 7,520 "," 3,860 "," 3,670 "," 7,530 "," 3,890 "," 3,700 "," 7,590 "," 3,920 "," 3,740 "," 7,660 "," 4,070 "," 4,120 "," 8,190 "
    5 ," 3,810 "," 3,590 "," 7,400 "," 3,880 "," 3,500 "," 7,380 "," 3,870 "," 3,510 "," 7,380 "," 3,880 "," 3,530 "," 7,410 "," 3,910 "," 3,560 "," 7,470 "," 3,960 "," 3,610 "," 7,570 "
    6 ," 4,010 "," 3,810 "," 7,820 "," 4,070 "," 3,850 "," 7,920 "," 4,130 "," 3,840 "," 7,970 "," 4,110 "," 3,850 "," 7,960 "," 4,100 "," 3,850 "," 7,950 "," 4,230 "," 3,870 "," 8,100 "
    7 ," 3,860 "," 3,720 "," 7,580 "," 3,930 "," 3,770 "," 7,700 "," 3,990 "," 3,810 "," 7,800 "," 4,040 "," 3,820 "," 7,860 "," 4,130 "," 3,820 "," 7,950 "," 4,130 "," 3,820 "," 7,950 "
    8 ," 4,150 "," 3,890 "," 8,040 "," 4,210 "," 3,930 "," 8,140 "," 4,280 "," 3,980 "," 8,260 "," 4,430 "," 4,030 "," 8,460 "," 4,480 "," 4,110 "," 8,590 "," 4,470 "," 4,090 "," 8,560 "
    9 ," 3,810 "," 3,760 "," 7,570 "," 3,890 "," 3,830 "," 7,720 "," 3,980 "," 3,890 "," 7,870 "," 4,050 "," 3,950 "," 8,000 "," 4,110 "," 4,000 "," 8,110 "," 4,180 "," 3,900 "," 8,080 "
    10 ," 3,350 "," 3,450 "," 6,800 "," 3,440 "," 3,510 "," 6,950 "," 3,510 "," 3,570 "," 7,080 "," 3,580 "," 3,620 "," 7,200 "," 3,640 "," 3,580 "," 7,220 "," 3,710 "," 3,620 "," 7,330 "
    11 ," 3,850 "," 3,770 "," 7,620 "," 3,970 "," 3,860 "," 7,830 "," 4,070 "," 3,940 "," 8,010 "," 4,170 "," 3,910 "," 8,080 "," 4,260 "," 3,980 "," 8,240 "," 4,350 "," 4,030 "," 8,380 "
    12 ," 3,510 "," 3,380 "," 6,890 "," 3,610 "," 3,450 "," 7,060 "," 3,690 "," 3,510 "," 7,200 "," 3,780 "," 3,580 "," 7,360 "," 3,860 "," 3,630 "," 7,490 "," 3,940 "," 3,680 "," 7,620 "
    13 ," 3,240 "," 3,240 "," 6,480 "," 3,360 "," 3,230 "," 6,590 "," 3,450 "," 3,310 "," 6,760 "," 3,550 "," 3,400 "," 6,950 "," 3,640 "," 3,460 "," 7,100 "," 3,740 "," 3,520 "," 7,260 "
    14 ," 3,460 "," 3,410 "," 6,870 "," 3,560 "," 3,490 "," 7,050 "," 3,640 "," 3,550 "," 7,190 "," 3,810 "," 3,620 "," 7,430 "," 3,890 "," 3,680 "," 7,570 "," 3,980 "," 3,720 "," 7,700 "
    15 ," 3,120 "," 3,010 "," 6,130 "," 3,230 "," 3,110 "," 6,340 "," 3,350 "," 3,210 "," 6,560 "," 3,460 "," 3,200 "," 6,660 "," 3,570 "," 3,290 "," 6,860 "," 3,680 "," 3,360 "," 7,040 "
    16 ," 3,340 "," 3,210 "," 6,550 "," 3,450 "," 3,310 "," 6,760 "," 3,560 "," 3,400 "," 6,960 "," 3,660 "," 3,490 "," 7,150 "," 3,770 "," 3,570 "," 7,340 "," 3,880 "," 3,560 "," 7,440 "
    17 ," 2,860 "," 2,710 "," 5,570 "," 3,000 "," 2,820 "," 5,820 "," 3,120 "," 2,820 "," 5,940 "," 3,140 "," 2,930 "," 6,070 "," 3,250 "," 2,920 "," 6,170 "," 3,370 "," 3,020 "," 6,390 "
    18 ," 2,660 "," 2,750 "," 5,410 "," 2,720 "," 2,760 "," 5,480 "," 2,840 "," 2,850 "," 5,690 "," 2,950 "," 2,940 "," 5,890 "," 3,060 "," 3,020 "," 6,080 "," 3,170 "," 3,020 "," 6,190 "
    19 ," 2,170 "," 2,520 "," 4,690 "," 2,350 "," 2,640 "," 4,990 "," 2,400 "," 2,650 "," 5,050 "," 2,550 "," 2,770 "," 5,320 "," 2,560 "," 2,860 "," 5,420 "," 2,700 "," 2,860 "," 5,560 "
    20 ," 2,000 "," 2,380 "," 4,380 "," 2,160 "," 2,480 "," 4,640 "," 2,220 "," 2,580 "," 4,800 "," 2,360 "," 2,600 "," 4,960 "," 2,480 "," 2,680 "," 5,160 "," 2,510 "," 2,750 "," 5,260 "
    21 ," 1,910 "," 2,040 "," 3,950 "," 1,970 "," 2,180 "," 4,150 "," 2,170 "," 2,200 "," 4,370 "," 2,240 "," 2,330 "," 4,570 "," 2,410 "," 2,340 "," 4,750 "," 2,450 "," 2,460 "," 4,910 "
    22 ," 1,720 "," 2,060 "," 3,780 "," 1,770 "," 2,160 "," 3,930 "," 1,940 "," 2,190 "," 4,130 "," 2,000 "," 2,310 "," 4,310 "," 2,170 "," 2,330 "," 4,500 "," 2,330 "," 2,420 "," 4,750 "
    23 ," 1,420 "," 1,760 "," 3,180 "," 1,450 "," 1,770 "," 3,220 "," 1,490 "," 1,890 "," 3,380 "," 1,660 "," 1,920 "," 3,580 "," 1,710 "," 2,050 "," 3,760 "," 1,770 "," 2,060 "," 3,830 "
    24 ," 1,340 "," 1,690 "," 3,030 "," 1,450 "," 1,700 "," 3,150 "," 1,470 "," 1,810 "," 3,280 "," 1,510 "," 1,830 "," 3,340 "," 1,670 "," 1,950 "," 3,620 "," 1,740 "," 1,970 "," 3,710 "
    25 ," 1,320 "," 1,740 "," 3,060 "," 1,320 "," 1,840 "," 3,160 "," 1,420 "," 1,840 "," 3,260 "," 1,450 "," 1,960 "," 3,410 "," 1,590 "," 1,970 "," 3,560 "," 1,650 "," 2,090 "," 3,740 "
    26 ," 1,320 "," 1,580 "," 2,900 "," 1,330 "," 1,580 "," 2,910 "," 1,330 "," 1,690 "," 3,020 "," 1,450 "," 1,710 "," 3,160 "," 1,480 "," 1,830 "," 3,310 "," 1,640 "," 1,840 "," 3,480 "
    27 ," 1,140 "," 1,530 "," 2,670 "," 1,150 "," 1,540 "," 2,690 "," 1,150 "," 1,660 "," 2,810 "," 1,250 "," 1,670 "," 2,920 "," 1,260 "," 1,670 "," 2,930 "," 1,290 "," 1,790 "," 3,080 "
    28 ," 1,240 "," 1,530 "," 2,770 "," 1,330 "," 1,640 "," 2,970 "," 1,340 "," 1,660 "," 3,000 "," 1,430 "," 1,760 "," 3,190 "," 1,430 "," 1,760 "," 3,190 "," 1,530 "," 1,770 "," 3,300 "
    29 ," 1,310 "," 1,670 "," 2,980 "," 1,320 "," 1,700 "," 3,020 "," 1,450 "," 1,730 "," 3,180 "," 1,460 "," 1,880 "," 3,340 "," 1,470 "," 1,890 "," 3,360 "," 1,600 "," 1,900 "," 3,500 "
    30 ," 1,020 "," 1,330 "," 2,350 "," 1,030 "," 1,370 "," 2,400 "," 1,110 "," 1,470 "," 2,580 "," 1,120 "," 1,500 "," 2,620 "," 1,130 "," 1,590 "," 2,720 "," 1,220 "," 1,600 "," 2,820 "
    31 ," 1,200 "," 1,220 "," 2,420 "," 1,210 "," 1,380 "," 2,590 "," 1,350 "," 1,430 "," 2,780 "," 1,360 "," 1,470 "," 2,830 "," 1,370 "," 1,490 "," 2,860 "," 1,390 "," 1,650 "," 3,040 "
    32 ," 1,050 "," 1,290 "," 2,340 "," 1,060 "," 1,320 "," 2,380 "," 1,150 "," 1,450 "," 2,600 "," 1,160 "," 1,500 "," 2,660 "," 1,170 "," 1,540 "," 2,710 "," 1,280 "," 1,670 "," 2,950 "
    33 , 910 ," 1,170 "," 2,080 ", 910 ," 1,180 "," 2,090 ", 920 ," 1,220 "," 2,140 "," 1,070 "," 1,260 "," 2,330 "," 1,090 "," 1,290 "," 2,380 "," 1,100 "," 1,480 "," 2,580 "
    34 ," 1,000 "," 1,200 "," 2,200 "," 1,090 "," 1,210 "," 2,300 "," 1,100 "," 1,220 "," 2,320 "," 1,100 "," 1,360 "," 2,460 "," 1,110 "," 1,400 "," 2,510 "," 1,230 "," 1,440 "," 2,670 "
    35 , 990 ," 1,130 "," 2,120 ", 990 ," 1,220 "," 2,210 "," 1,070 "," 1,220 "," 2,290 "," 1,070 "," 1,330 "," 2,400 "," 1,150 "," 1,360 "," 2,510 "," 1,170 "," 1,400 "," 2,570 "
    36 ," 1,060 "," 1,050 "," 2,110 "," 1,060 "," 1,160 "," 2,220 "," 1,060 "," 1,180 "," 2,240 "," 1,060 "," 1,190 "," 2,250 "," 1,190 "," 1,210 "," 2,400 "," 1,200 "," 1,240 "," 2,440 "
    37 , 850 , 870 ," 1,720 ", 970 ," 1,000 "," 1,970 ", 960 ," 1,010 "," 1,970 ", 960 ," 1,020 "," 1,980 ", 970 ," 1,030 "," 2,000 ", 980 ," 1,050 "," 2,030 "
    38 , 790 , 930 ," 1,720 ", 780 ," 1,030 "," 1,810 ", 780 ," 1,040 "," 1,820 ", 880 ," 1,060 "," 1,940 ", 880 ," 1,160 "," 2,040 ", 900 ," 1,170 "," 2,070 "
    39 , 950 , 910 ," 1,860 ", 940 , 920 ," 1,860 ", 940 , 930 ," 1,870 "," 1,050 ", 950 ," 2,000 "," 1,060 "," 1,070 "," 2,130 "," 1,070 "," 1,080 "," 2,150 "
    40 , 750 , 900 ," 1,650 ", 750 , 980 ," 1,730 ", 750 , 990 ," 1,740 ", 750 ," 1,010 "," 1,760 ", 810 ," 1,090 "," 1,900 ", 820 ," 1,100 "," 1,920 "
    41 , 810 , 800 ," 1,610 ", 810 , 820 ," 1,630 ", 800 , 830 ," 1,630 ", 930 , 850 ," 1,780 ", 930 , 860 ," 1,790 ", 940 ," 1,010 "," 1,950 "
    42 , 820 , 860 ," 1,680 ", 820 , 960 ," 1,780 ", 900 , 970 ," 1,870 ", 900 ," 1,000 "," 1,900 ", 900 ," 1,020 "," 1,920 ", 910 ," 1,130 "," 2,040 "
    43 , 760 , 900 ," 1,660 ", 760 , 910 ," 1,670 ", 760 , 930 ," 1,690 ", 860 , 950 ," 1,810 ", 860 , 970 ," 1,830 ", 870 , 980 ," 1,850 "
    44 , 680 , 790 ," 1,470 ", 680 , 800 ," 1,480 ", 680 , 810 ," 1,490 ", 680 , 940 ," 1,620 ", 670 , 950 ," 1,620 ", 680 , 970 ," 1,650 "
    45 , 720 , 890 ," 1,610 ", 800 , 890 ," 1,690 ", 790 , 900 ," 1,690 ", 800 ," 1,000 "," 1,800 ", 790 ," 1,010 "," 1,800 ", 880 ," 1,030 "," 1,910 "
