Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    Less Than One Year ," 2,670 "," 2,480 "," 5,150 "," 2,810 "," 2,780 "," 5,590 "," 2,900 "," 2,890 "," 5,790 "," 2,980 "," 2,980 "," 5,960 "," 3,060 "," 2,960 "," 6,020 "," 3,130 "," 3,050 "," 6,180 "
    1 ," 2,650 "," 2,580 "," 5,230 "," 2,710 "," 2,530 "," 5,240 "," 2,840 "," 2,840 "," 5,680 "," 2,930 "," 2,950 "," 5,880 "," 3,010 "," 3,040 "," 6,050 "," 3,100 "," 3,140 "," 6,240 "
    2 ," 2,590 "," 2,410 "," 5,000 "," 2,650 "," 2,460 "," 5,110 "," 2,690 "," 2,520 "," 5,210 "," 2,820 "," 2,810 "," 5,630 "," 2,890 "," 2,900 "," 5,790 "," 2,980 "," 2,990 "," 5,970 "
    3 ," 2,680 "," 2,380 "," 5,060 "," 2,700 "," 2,410 "," 5,110 "," 2,750 "," 2,460 "," 5,210 "," 2,800 "," 2,510 "," 5,310 "," 2,910 "," 2,800 "," 5,710 "," 3,080 "," 2,880 "," 5,960 "
    4 ," 2,560 "," 2,440 "," 5,000 "," 2,580 "," 2,470 "," 5,050 "," 2,610 "," 2,510 "," 5,120 "," 2,660 "," 2,550 "," 5,210 "," 2,700 "," 2,600 "," 5,300 "," 2,830 "," 2,900 "," 5,730 "
    5 ," 2,450 "," 2,300 "," 4,750 "," 2,520 "," 2,340 "," 4,860 "," 2,560 "," 2,370 "," 4,930 "," 2,590 "," 2,410 "," 5,000 "," 2,640 "," 2,370 "," 5,010 "," 2,690 "," 2,430 "," 5,120 "
    6 ," 2,620 "," 2,510 "," 5,130 "," 2,690 "," 2,570 "," 5,260 "," 2,760 "," 2,600 "," 5,360 "," 2,770 "," 2,620 "," 5,390 "," 2,800 "," 2,650 "," 5,450 "," 2,850 "," 2,690 "," 5,540 "
    7 ," 2,610 "," 2,550 "," 5,160 "," 2,690 "," 2,610 "," 5,300 "," 2,660 "," 2,670 "," 5,330 "," 2,820 "," 2,700 "," 5,520 "," 2,850 "," 2,720 "," 5,570 "," 2,870 "," 2,750 "," 5,620 "
    8 ," 2,510 "," 2,380 "," 4,890 "," 2,590 "," 2,440 "," 5,030 "," 2,670 "," 2,420 "," 5,090 "," 2,740 "," 2,470 "," 5,210 "," 2,810 "," 2,500 "," 5,310 "," 2,830 "," 2,530 "," 5,360 "
    9 ," 2,680 "," 2,410 "," 5,090 "," 2,770 "," 2,490 "," 5,260 "," 2,760 "," 2,560 "," 5,320 "," 2,840 "," 2,530 "," 5,370 "," 2,910 "," 2,600 "," 5,510 "," 2,980 "," 2,630 "," 5,610 "
    10 ," 2,180 "," 2,240 "," 4,420 "," 2,270 "," 2,320 "," 4,590 "," 2,340 "," 2,380 "," 4,720 "," 2,420 "," 2,440 "," 4,860 "," 2,490 "," 2,500 "," 4,990 "," 2,560 "," 2,560 "," 5,120 "
    11 ," 2,500 "," 2,410 "," 4,910 "," 2,610 "," 2,510 "," 5,120 "," 2,610 "," 2,600 "," 5,210 "," 2,710 "," 2,570 "," 5,280 "," 2,810 "," 2,650 "," 5,460 "," 2,900 "," 2,720 "," 5,620 "
    12 ," 2,280 "," 2,260 "," 4,540 "," 2,380 "," 2,240 "," 4,620 "," 2,470 "," 2,310 "," 4,780 "," 2,550 "," 2,380 "," 4,930 "," 2,640 "," 2,450 "," 5,090 "," 2,720 "," 2,510 "," 5,230 "
    13 ," 2,030 "," 1,930 "," 3,960 "," 2,040 "," 2,020 "," 4,060 "," 2,140 "," 2,110 "," 4,250 "," 2,240 "," 2,100 "," 4,340 "," 2,230 "," 2,170 "," 4,400 "," 2,330 "," 2,250 "," 4,580 "
    14 ," 2,030 "," 2,050 "," 4,080 "," 2,120 "," 2,050 "," 4,170 "," 2,210 "," 2,120 "," 4,330 "," 2,300 "," 2,190 "," 4,490 "," 2,380 "," 2,260 "," 4,640 "," 2,460 "," 2,320 "," 4,780 "
    15 ," 1,980 "," 1,940 "," 3,920 "," 1,990 "," 1,940 "," 3,930 "," 2,100 "," 2,040 "," 4,140 "," 2,210 "," 2,130 "," 4,340 "," 2,210 "," 2,120 "," 4,330 "," 2,310 "," 2,210 "," 4,520 "
    16 ," 2,010 "," 2,050 "," 4,060 "," 2,020 "," 2,050 "," 4,070 "," 2,120 "," 2,140 "," 4,260 "," 2,230 "," 2,230 "," 4,460 "," 2,330 "," 2,320 "," 4,650 "," 2,330 "," 2,310 "," 4,640 "
    17 ," 1,810 "," 1,850 "," 3,660 "," 1,830 "," 1,960 "," 3,790 "," 1,950 "," 1,960 "," 3,910 "," 1,950 "," 2,060 "," 4,010 "," 2,070 "," 2,160 "," 4,230 "," 2,180 "," 2,150 "," 4,330 "
    18 ," 1,660 "," 1,780 "," 3,440 "," 1,780 "," 1,790 "," 3,570 "," 1,810 "," 1,880 "," 3,690 "," 1,910 "," 1,960 "," 3,870 "," 2,010 "," 1,950 "," 3,960 "," 2,020 "," 2,040 "," 4,060 "
    19 ," 1,600 "," 1,680 "," 3,280 "," 1,760 "," 1,700 "," 3,460 "," 1,800 "," 1,800 "," 3,600 "," 1,940 "," 1,810 "," 3,750 "," 1,950 "," 1,900 "," 3,850 "," 2,080 "," 1,910 "," 3,990 "
    20 ," 1,480 "," 1,510 "," 2,990 "," 1,620 "," 1,610 "," 3,230 "," 1,670 "," 1,700 "," 3,370 "," 1,790 "," 1,700 "," 3,490 "," 1,820 "," 1,790 "," 3,610 "," 1,920 "," 1,860 "," 3,780 "
    21 ," 1,430 "," 1,590 "," 3,020 "," 1,600 "," 1,610 "," 3,210 "," 1,660 "," 1,740 "," 3,400 "," 1,710 "," 1,740 "," 3,450 "," 1,880 "," 1,870 "," 3,750 "," 1,900 "," 1,870 "," 3,770 "
