Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    Less Than One Year ," 1,830 "," 1,740 "," 3,570 "," 1,850 "," 1,990 "," 3,840 "," 1,950 "," 2,090 "," 4,040 "," 2,040 "," 2,190 "," 4,230 "," 2,130 "," 2,290 "," 4,420 "," 2,110 "," 2,380 "," 4,490 "
    1 ," 1,290 "," 1,410 "," 2,700 "," 1,370 "," 1,490 "," 2,860 "," 1,400 "," 1,610 "," 3,010 "," 1,490 "," 1,710 "," 3,200 "," 1,590 "," 1,820 "," 3,410 "," 1,580 "," 1,810 "," 3,390 "
    2 ," 2,210 "," 2,310 "," 4,520 "," 2,270 "," 2,370 "," 4,640 "," 2,340 "," 2,420 "," 4,760 "," 2,460 "," 2,710 "," 5,170 "," 2,530 "," 2,900 "," 5,430 "," 2,620 "," 2,990 "," 5,610 "
    3 ," 1,770 "," 1,750 "," 3,520 "," 1,720 "," 1,790 "," 3,510 "," 1,790 "," 1,850 "," 3,640 "," 1,860 "," 1,910 "," 3,770 "," 1,960 "," 2,150 "," 4,110 "," 1,960 "," 2,240 "," 4,200 "
    4 ," 2,560 "," 2,440 "," 5,000 "," 2,580 "," 2,470 "," 5,050 "," 2,710 "," 2,600 "," 5,310 "," 2,760 "," 2,640 "," 5,400 "," 2,800 "," 2,690 "," 5,490 "," 2,920 "," 3,080 "," 6,000 "
    5 ," 1,970 "," 2,100 "," 4,070 "," 2,050 "," 2,150 "," 4,200 "," 2,100 "," 2,190 "," 4,290 "," 2,050 "," 2,230 "," 4,280 "," 2,110 "," 2,280 "," 4,390 "," 2,170 "," 2,340 "," 4,510 "
    6 ," 2,430 "," 2,420 "," 4,850 "," 2,510 "," 2,480 "," 4,990 "," 2,590 "," 2,510 "," 5,100 "," 2,610 "," 2,540 "," 5,150 "," 2,640 "," 2,650 "," 5,290 "," 2,690 "," 2,690 "," 5,380 "
    7 ," 1,660 "," 1,680 "," 3,340 "," 1,740 "," 1,750 "," 3,490 "," 1,830 "," 1,820 "," 3,650 "," 1,900 "," 1,780 "," 3,680 "," 1,860 "," 1,830 "," 3,690 "," 1,910 "," 1,880 "," 3,790 "
    8 ," 2,510 "," 2,470 "," 4,980 "," 2,590 "," 2,530 "," 5,120 "," 2,680 "," 2,600 "," 5,280 "," 2,750 "," 2,740 "," 5,490 "," 2,820 "," 2,760 "," 5,580 "," 2,840 "," 2,780 "," 5,620 "
    9 ," 1,860 "," 1,690 "," 3,550 "," 1,860 "," 1,770 "," 3,630 "," 1,960 "," 1,860 "," 3,820 "," 2,050 "," 1,930 "," 3,980 "," 2,130 "," 2,010 "," 4,140 "," 2,110 "," 1,960 "," 4,070 "
