Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    Less Than One Year ," 6,590 "," 6,330 "," 12,920 "," 6,880 "," 7,030 "," 13,910 "," 7,050 "," 7,240 "," 14,290 "," 7,330 "," 7,420 "," 14,750 "," 7,480 "," 7,510 "," 14,990 "," 7,610 "," 7,670 "," 15,280 "
    1 ," 6,330 "," 6,300 "," 12,630 "," 6,420 "," 6,400 "," 12,820 "," 6,700 "," 7,020 "," 13,720 "," 6,880 "," 7,230 "," 14,110 "," 7,060 "," 7,430 "," 14,490 "," 7,220 "," 7,610 "," 14,830 "
    2 ," 6,500 "," 6,030 "," 12,530 "," 6,580 "," 6,120 "," 12,700 "," 6,650 "," 6,210 "," 12,860 "," 6,940 "," 6,910 "," 13,850 "," 7,170 "," 7,090 "," 14,260 "," 7,330 "," 7,270 "," 14,600 "
    3 ," 6,260 "," 5,820 "," 12,080 "," 6,270 "," 5,860 "," 12,130 "," 6,350 "," 5,940 "," 12,290 "," 6,450 "," 6,040 "," 12,490 "," 6,780 "," 6,710 "," 13,490 "," 6,940 "," 6,870 "," 13,810 "
    4 ," 6,310 "," 5,980 "," 12,290 "," 6,330 "," 5,930 "," 12,260 "," 6,450 "," 5,970 "," 12,420 "," 6,530 "," 6,060 "," 12,590 "," 6,620 "," 6,150 "," 12,770 "," 6,970 "," 6,820 "," 13,790 "
    5 ," 5,850 "," 5,760 "," 11,610 "," 5,990 "," 5,810 "," 11,800 "," 6,030 "," 5,860 "," 11,890 "," 6,000 "," 5,830 "," 11,830 "," 6,190 "," 5,920 "," 12,110 "," 6,280 "," 6,020 "," 12,300 "
    6 ," 6,050 "," 5,930 "," 11,980 "," 6,190 "," 6,040 "," 12,230 "," 6,320 "," 6,060 "," 12,380 "," 6,340 "," 6,100 "," 12,440 "," 6,470 "," 6,140 "," 12,610 "," 6,550 "," 6,210 "," 12,760 "
    7 ," 6,150 "," 6,050 "," 12,200 "," 6,310 "," 6,170 "," 12,480 "," 6,440 "," 6,270 "," 12,710 "," 6,660 "," 6,310 "," 12,970 "," 6,690 "," 6,350 "," 13,040 "," 6,720 "," 6,380 "," 13,100 "
    8 ," 6,160 "," 6,150 "," 12,310 "," 6,300 "," 6,170 "," 12,470 "," 6,450 "," 6,280 "," 12,730 "," 6,590 "," 6,380 "," 12,970 "," 6,820 "," 6,500 "," 13,320 "," 6,830 "," 6,520 "," 13,350 "
    9 ," 6,460 "," 6,150 "," 12,610 "," 6,630 "," 6,290 "," 12,920 "," 6,810 "," 6,430 "," 13,240 "," 6,970 "," 6,560 "," 13,530 "," 7,110 "," 6,680 "," 13,790 "," 7,250 "," 6,610 "," 13,860 "
