Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    Less Than One Year ," 16,250 "," 15,160 "," 31,410 "," 16,890 "," 16,610 "," 33,500 "," 17,310 "," 17,050 "," 34,360 "," 17,610 "," 17,260 "," 34,870 "," 17,900 "," 17,630 "," 35,530 "," 18,220 "," 17,920 "," 36,140 "
    1 ," 14,050 "," 13,080 "," 27,130 "," 14,210 "," 13,160 "," 27,370 "," 14,790 "," 14,540 "," 29,330 "," 15,020 "," 14,830 "," 29,850 "," 15,360 "," 15,210 "," 30,570 "," 15,670 "," 15,450 "," 31,120 "
    2 ," 13,490 "," 12,300 "," 25,790 "," 13,660 "," 12,370 "," 26,030 "," 13,800 "," 12,480 "," 26,280 "," 14,350 "," 13,850 "," 28,200 "," 14,630 "," 14,120 "," 28,750 "," 14,950 "," 14,460 "," 29,410 "
    3 ," 13,820 "," 12,850 "," 26,670 "," 13,810 "," 12,910 "," 26,720 "," 13,960 "," 13,050 "," 27,010 "," 14,120 "," 13,130 "," 27,250 "," 14,620 "," 14,540 "," 29,160 "," 15,010 "," 14,850 "," 29,860 "
    4 ," 12,920 "," 11,900 "," 24,820 "," 12,960 "," 11,900 "," 24,860 "," 13,020 "," 12,000 "," 25,020 "," 13,170 "," 12,060 "," 25,230 "," 13,330 "," 12,160 "," 25,490 "," 13,760 "," 13,470 "," 27,230 "
    5 ," 13,660 "," 12,650 "," 26,310 "," 13,920 "," 12,630 "," 26,550 "," 13,870 "," 12,700 "," 26,570 "," 13,930 "," 12,690 "," 26,620 "," 14,090 "," 12,760 "," 26,850 "," 14,250 "," 12,950 "," 27,200 "
    6 ," 12,680 "," 12,550 "," 25,230 "," 12,950 "," 12,660 "," 25,610 "," 13,120 "," 12,710 "," 25,830 "," 13,130 "," 12,670 "," 25,800 "," 13,200 "," 12,730 "," 25,930 "," 13,360 "," 12,840 "," 26,200 "
    7 ," 13,000 "," 12,430 "," 25,430 "," 13,300 "," 12,660 "," 25,960 "," 13,570 "," 12,780 "," 26,350 "," 13,810 "," 12,750 "," 26,560 "," 13,760 "," 12,810 "," 26,570 "," 13,800 "," 12,780 "," 26,580 "
    8 ," 11,870 "," 11,690 "," 23,560 "," 12,060 "," 11,820 "," 23,880 "," 12,280 "," 11,980 "," 24,260 "," 12,540 "," 12,170 "," 24,710 "," 12,720 "," 12,150 "," 24,870 "," 12,770 "," 12,110 "," 24,880 "
    9 ," 12,330 "," 12,040 "," 24,370 "," 12,580 "," 12,220 "," 24,800 "," 12,860 "," 12,400 "," 25,260 "," 13,150 "," 12,560 "," 25,710 "," 13,340 "," 12,690 "," 26,030 "," 13,620 "," 12,650 "," 26,270 "
    10 ," 11,400 "," 11,570 "," 22,970 "," 11,640 "," 11,740 "," 23,380 "," 11,870 "," 11,910 "," 23,780 "," 12,150 "," 12,030 "," 24,180 "," 12,430 "," 12,260 "," 24,690 "," 12,610 "," 12,340 "," 24,950 "
    11 ," 11,340 "," 11,120 "," 22,460 "," 11,570 "," 11,380 "," 22,950 "," 11,880 "," 11,520 "," 23,400 "," 12,180 "," 11,740 "," 23,920 "," 12,460 "," 11,840 "," 24,300 "," 12,710 "," 12,000 "," 24,710 "
    12 ," 11,180 "," 11,260 "," 22,440 "," 11,470 "," 11,460 "," 22,930 "," 11,740 "," 11,640 "," 23,380 "," 12,090 "," 11,820 "," 23,910 "," 12,340 "," 12,070 "," 24,410 "," 12,550 "," 12,180 "," 24,730 "
    13 ," 10,930 "," 11,140 "," 22,070 "," 11,270 "," 11,400 "," 22,670 "," 11,570 "," 11,640 "," 23,210 "," 11,870 "," 11,860 "," 23,730 "," 12,150 "," 12,030 "," 24,180 "," 12,410 "," 12,190 "," 24,600 "
    14 ," 10,630 "," 10,750 "," 21,380 "," 10,920 "," 10,990 "," 21,910 "," 11,270 "," 11,270 "," 22,540 "," 11,540 "," 11,450 "," 22,990 "," 11,870 "," 11,630 "," 23,500 "," 12,180 "," 11,820 "," 24,000 "
    15 ," 10,080 "," 10,640 "," 20,720 "," 10,320 "," 10,830 "," 21,150 "," 10,670 "," 11,130 "," 21,800 "," 11,000 "," 11,390 "," 22,390 "," 11,340 "," 11,550 "," 22,890 "," 11,540 "," 11,740 "," 23,280 "
    16 ," 9,820 "," 10,600 "," 20,420 "," 10,160 "," 10,800 "," 20,960 "," 10,400 "," 11,080 "," 21,480 "," 10,720 "," 11,340 "," 22,060 "," 11,040 "," 11,580 "," 22,620 "," 11,340 "," 11,810 "," 23,150 "
