Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    Less Than One Year ," 4,780 "," 4,510 "," 9,290 "," 5,050 "," 4,950 "," 10,000 "," 5,120 "," 5,050 "," 10,170 "," 5,310 "," 5,240 "," 10,550 "," 5,470 "," 5,340 "," 10,810 "," 5,630 "," 5,410 "," 11,040 "
    1 ," 4,430 "," 4,170 "," 8,600 "," 4,450 "," 4,200 "," 8,650 "," 4,710 "," 4,750 "," 9,460 "," 4,800 "," 4,850 "," 9,650 "," 4,970 "," 4,950 "," 9,920 "," 5,160 "," 5,140 "," 10,300 "
    2 ," 4,110 "," 3,830 "," 7,940 "," 4,230 "," 3,860 "," 8,090 "," 4,340 "," 3,990 "," 8,330 "," 4,500 "," 4,400 "," 8,900 "," 4,650 "," 4,490 "," 9,140 "," 4,740 "," 4,680 "," 9,420 "
    3 ," 3,960 "," 3,460 "," 7,420 "," 3,940 "," 3,640 "," 7,580 "," 3,970 "," 3,670 "," 7,640 "," 4,100 "," 3,790 "," 7,890 "," 4,310 "," 4,190 "," 8,500 "," 4,230 "," 4,360 "," 8,590 "
    4 ," 3,960 "," 3,830 "," 7,790 "," 4,040 "," 3,830 "," 7,870 "," 4,120 "," 3,830 "," 7,950 "," 4,150 "," 3,940 "," 8,090 "," 4,270 "," 3,980 "," 8,250 "," 4,420 "," 4,480 "," 8,900 "
    5 ," 3,900 "," 3,770 "," 7,670 "," 3,960 "," 3,780 "," 7,740 "," 4,050 "," 3,780 "," 7,830 "," 4,060 "," 3,880 "," 7,940 "," 4,180 "," 3,910 "," 8,090 "," 4,220 "," 3,950 "," 8,170 "
    6 ," 3,730 "," 3,430 "," 7,160 "," 3,790 "," 3,480 "," 7,270 "," 3,940 "," 3,480 "," 7,420 "," 3,930 "," 3,480 "," 7,410 "," 4,020 "," 3,500 "," 7,520 "," 4,060 "," 3,610 "," 7,670 "
    7 ," 3,660 "," 3,420 "," 7,080 "," 3,730 "," 3,470 "," 7,200 "," 3,790 "," 3,520 "," 7,310 "," 3,950 "," 3,620 "," 7,570 "," 3,940 "," 3,630 "," 7,570 "," 4,040 "," 3,640 "," 7,680 "
    8 ," 3,660 "," 3,510 "," 7,170 "," 3,720 "," 3,550 "," 7,270 "," 3,890 "," 3,700 "," 7,590 "," 3,960 "," 3,730 "," 7,690 "," 4,110 "," 3,740 "," 7,850 "," 4,110 "," 3,740 "," 7,850 "
    9 ," 3,390 "," 3,440 "," 6,830 "," 3,480 "," 3,510 "," 6,990 "," 3,570 "," 3,580 "," 7,150 "," 3,650 "," 3,630 "," 7,280 "," 3,810 "," 3,690 "," 7,500 "," 3,890 "," 3,690 "," 7,580 "
    10 ," 3,430 "," 3,350 "," 6,780 "," 3,510 "," 3,410 "," 6,920 "," 3,590 "," 3,470 "," 7,060 "," 3,750 "," 3,510 "," 7,260 "," 3,820 "," 3,660 "," 7,480 "," 3,970 "," 3,700 "," 7,670 "
    11 ," 3,280 "," 3,200 "," 6,480 "," 3,400 "," 3,290 "," 6,690 "," 3,500 "," 3,370 "," 6,870 "," 3,610 "," 3,450 "," 7,060 "," 3,700 "," 3,530 "," 7,230 "," 3,910 "," 3,590 "," 7,500 "
    12 ," 3,120 "," 3,090 "," 6,210 "," 3,220 "," 3,160 "," 6,380 "," 3,310 "," 3,220 "," 6,530 "," 3,400 "," 3,290 "," 6,690 "," 3,490 "," 3,350 "," 6,840 "," 3,660 "," 3,490 "," 7,150 "
    13 ," 2,930 "," 3,030 "," 5,960 "," 3,040 "," 3,120 "," 6,160 "," 3,140 "," 3,200 "," 6,340 "," 3,250 "," 3,280 "," 6,530 "," 3,340 "," 3,350 "," 6,690 "," 3,540 "," 3,410 "," 6,950 "
    14 ," 3,030 "," 3,060 "," 6,090 "," 3,130 "," 3,140 "," 6,270 "," 3,210 "," 3,290 "," 6,500 "," 3,400 "," 3,350 "," 6,750 "," 3,480 "," 3,420 "," 6,900 "," 3,560 "," 3,470 "," 7,030 "
    15 ," 2,910 "," 2,790 "," 5,700 "," 3,020 "," 2,890 "," 5,910 "," 3,130 "," 2,990 "," 6,120 "," 3,250 "," 3,080 "," 6,330 "," 3,360 "," 3,070 "," 6,430 "," 3,470 "," 3,150 "," 6,620 "
    16 ," 2,670 "," 2,620 "," 5,290 "," 2,780 "," 2,720 "," 5,500 "," 2,880 "," 2,810 "," 5,690 "," 3,000 "," 2,900 "," 5,900 "," 3,100 "," 2,990 "," 6,090 "," 3,310 "," 3,070 "," 6,380 "
    17 ," 2,540 "," 2,490 "," 5,030 "," 2,680 "," 2,600 "," 5,280 "," 2,800 "," 2,700 "," 5,500 "," 2,920 "," 2,700 "," 5,620 "," 3,040 "," 2,800 "," 5,840 "," 3,160 "," 2,900 "," 6,060 "
    18 ," 2,290 "," 2,470 "," 4,760 "," 2,430 "," 2,570 "," 5,000 "," 2,550 "," 2,670 "," 5,220 "," 2,670 "," 2,750 "," 5,420 "," 2,770 "," 2,840 "," 5,610 "," 2,890 "," 2,920 "," 5,810 "
    19 ," 2,050 "," 2,200 "," 4,250 "," 2,220 "," 2,320 "," 4,540 "," 2,390 "," 2,430 "," 4,820 "," 2,430 "," 2,440 "," 4,870 "," 2,560 "," 2,540 "," 5,100 "," 2,700 "," 2,640 "," 5,340 "
    20 ," 1,900 "," 1,980 "," 3,880 "," 1,970 "," 2,080 "," 4,050 "," 2,120 "," 2,090 "," 4,210 "," 2,270 "," 2,180 "," 4,450 "," 2,390 "," 2,270 "," 4,660 "," 2,510 "," 2,350 "," 4,860 "
    21 ," 1,660 "," 2,030 "," 3,690 "," 1,720 "," 2,050 "," 3,770 "," 1,910 "," 2,190 "," 4,100 "," 1,980 "," 2,200 "," 4,180 "," 2,150 "," 2,330 "," 4,480 "," 2,180 "," 2,450 "," 4,630 "
    22 ," 1,430 "," 1,870 "," 3,300 "," 1,570 "," 1,880 "," 3,450 "," 1,630 "," 1,990 "," 3,620 "," 1,800 "," 2,100 "," 3,900 "," 1,850 "," 2,130 "," 3,980 "," 2,010 "," 2,220 "," 4,230 "
    23 ," 1,310 "," 1,540 "," 2,850 "," 1,330 "," 1,650 "," 2,980 "," 1,480 "," 1,660 "," 3,140 "," 1,540 "," 1,790 "," 3,330 "," 1,710 "," 1,810 "," 3,520 "," 1,770 "," 1,940 "," 3,710 "
    24 ," 1,240 "," 1,490 "," 2,730 "," 1,250 "," 1,500 "," 2,750 "," 1,360 "," 1,600 "," 2,960 "," 1,420 "," 1,610 "," 3,030 "," 1,570 "," 1,740 "," 3,310 "," 1,630 "," 1,760 "," 3,390 "
    25 ," 1,040 "," 1,450 "," 2,490 "," 1,040 "," 1,450 "," 2,490 "," 1,050 "," 1,550 "," 2,600 "," 1,170 "," 1,560 "," 2,730 "," 1,200 "," 1,580 "," 2,780 "," 1,350 "," 1,690 "," 3,040 "
    26 , 990 ," 1,460 "," 2,450 "," 1,000 "," 1,460 "," 2,460 "," 1,110 "," 1,460 "," 2,570 "," 1,130 "," 1,580 "," 2,710 "," 1,150 "," 1,600 "," 2,750 "," 1,300 "," 1,720 "," 3,020 "
    27 ," 1,030 "," 1,410 "," 2,440 "," 1,040 "," 1,420 "," 2,460 "," 1,040 "," 1,540 "," 2,580 "," 1,150 "," 1,540 "," 2,690 "," 1,160 "," 1,660 "," 2,820 "," 1,190 "," 1,680 "," 2,870 "
    28 , 910 ," 1,190 "," 2,100 "," 1,000 "," 1,300 "," 2,300 "," 1,000 "," 1,310 "," 2,310 "," 1,100 "," 1,400 "," 2,500 "," 1,100 "," 1,410 "," 2,510 "," 1,120 "," 1,510 "," 2,630 "
    29 , 950 ," 1,310 "," 2,260 ", 960 ," 1,340 "," 2,300 "," 1,090 "," 1,360 "," 2,450 "," 1,110 "," 1,490 "," 2,600 "," 1,110 "," 1,510 "," 2,620 "," 1,240 "," 1,520 "," 2,760 "
    30 , 800 ," 1,120 "," 1,920 ", 880 ," 1,150 "," 2,030 ", 890 ," 1,250 "," 2,140 ", 910 ," 1,340 "," 2,250 ", 980 ," 1,360 "," 2,340 "," 1,000 "," 1,450 "," 2,450 "
    31 , 930 ," 1,210 "," 2,140 ", 940 ," 1,240 "," 2,180 ", 950 ," 1,280 "," 2,230 "," 1,100 "," 1,450 "," 2,550 "," 1,110 "," 1,480 "," 2,590 "," 1,130 "," 1,500 "," 2,630 "
    32 , 790 ," 1,020 "," 1,810 ", 790 ," 1,130 "," 1,920 ", 800 ," 1,160 "," 1,960 ", 900 ," 1,190 "," 2,090 ", 910 ," 1,330 "," 2,240 ", 930 ," 1,350 "," 2,280 "
    33 , 760 ," 1,020 "," 1,780 ", 900 ," 1,030 "," 1,930 ", 910 ," 1,210 "," 2,120 ", 930 ," 1,240 "," 2,170 ", 940 ," 1,280 "," 2,220 ", 950 ," 1,310 "," 2,260 "
    34 , 800 ," 1,280 "," 2,080 ", 790 ," 1,290 "," 2,080 ", 900 ," 1,410 "," 2,310 ", 910 ," 1,440 "," 2,350 ", 920 ," 1,590 "," 2,510 "," 1,030 "," 1,640 "," 2,670 "
    35 , 620 , 880 ," 1,500 ", 690 , 890 ," 1,580 ", 690 , 980 ," 1,670 ", 700 , 990 ," 1,690 ", 710 ," 1,030 "," 1,740 ", 800 ," 1,140 "," 1,940 "
