Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    Less Than One Year ," 3,630 "," 3,440 "," 7,070 "," 3,780 "," 3,930 "," 7,710 "," 3,970 "," 4,040 "," 8,010 "," 4,040 "," 4,230 "," 8,270 "," 4,230 "," 4,330 "," 8,560 "," 4,390 "," 4,520 "," 8,910 "
    1 ," 3,500 "," 3,210 "," 6,710 "," 3,640 "," 3,380 "," 7,020 "," 3,790 "," 3,750 "," 7,540 "," 3,970 "," 3,850 "," 7,820 "," 4,060 "," 4,060 "," 8,120 "," 4,240 "," 4,150 "," 8,390 "
    2 ," 3,830 "," 3,740 "," 7,570 "," 3,960 "," 3,870 "," 7,830 "," 3,990 "," 4,000 "," 7,990 "," 4,220 "," 4,410 "," 8,630 "," 4,390 "," 4,590 "," 8,980 "," 4,560 "," 4,790 "," 9,350 "
    3 ," 3,600 "," 3,280 "," 6,880 "," 3,690 "," 3,390 "," 7,080 "," 3,720 "," 3,420 "," 7,140 "," 3,840 "," 3,540 "," 7,380 "," 4,060 "," 4,010 "," 8,070 "," 4,230 "," 4,190 "," 8,420 "
    4 ," 3,970 "," 3,830 "," 7,800 "," 4,050 "," 3,930 "," 7,980 "," 4,130 "," 3,930 "," 8,060 "," 4,240 "," 4,040 "," 8,280 "," 4,360 "," 4,150 "," 8,510 "," 4,590 "," 4,670 "," 9,260 "
    5 ," 3,720 "," 3,580 "," 7,300 "," 3,780 "," 3,600 "," 7,380 "," 3,870 "," 3,690 "," 7,560 "," 3,970 "," 3,700 "," 7,670 "," 4,100 "," 3,820 "," 7,920 "," 4,220 "," 3,960 "," 8,180 "
    6 ," 3,920 "," 3,800 "," 7,720 "," 4,070 "," 3,940 "," 8,010 "," 4,220 "," 4,020 "," 8,240 "," 4,290 "," 4,100 "," 8,390 "," 4,370 "," 4,170 "," 8,540 "," 4,570 "," 3,780 "," 8,350 "
    7 ," 3,480 "," 3,320 "," 6,800 "," 3,650 "," 3,390 "," 7,040 "," 3,800 "," 3,530 "," 7,330 "," 3,860 "," 3,530 "," 7,390 "," 3,950 "," 3,630 "," 7,580 "," 4,040 "," 3,740 "," 7,780 "
    8 ," 3,960 "," 3,790 "," 7,750 "," 4,110 "," 3,930 "," 8,040 "," 4,280 "," 3,980 "," 8,260 "," 4,430 "," 4,110 "," 8,540 "," 4,580 "," 4,180 "," 8,760 "," 4,650 "," 4,270 "," 8,920 "
    9 ," 3,600 "," 3,550 "," 7,150 "," 3,690 "," 3,730 "," 7,420 "," 3,880 "," 3,790 "," 7,670 "," 4,050 "," 3,940 "," 7,990 "," 4,120 "," 3,990 "," 8,110 "," 4,280 "," 4,090 "," 8,370 "
    10 ," 3,890 "," 3,720 "," 7,610 "," 3,970 "," 3,880 "," 7,850 "," 4,130 "," 3,930 "," 8,060 "," 4,370 "," 4,060 "," 8,430 "," 4,530 "," 4,190 "," 8,720 "," 4,670 "," 4,320 "," 8,990 "
