Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1961","1961","tonnes","13000","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1962","1962","tonnes","11200","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1963","1963","tonnes","11600","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1964","1964","tonnes","12000","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1965","1965","tonnes","19900","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1966","1966","tonnes","21700","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1967","1967","tonnes","22000","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1968","1968","tonnes","19800","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1969","1969","tonnes","21000","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1970","1970","tonnes","27767","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1971","1971","tonnes","34962","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1972","1972","tonnes","37962","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1973","1973","tonnes","45493","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1974","1974","tonnes","43487","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1975","1975","tonnes","38784","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1976","1976","tonnes","23346","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1977","1977","tonnes","22055","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1978","1978","tonnes","22491","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1979","1979","tonnes","9823","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1980","1980","tonnes","12160","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1981","1981","tonnes","6082","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1982","1982","tonnes","9787","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1983","1983","tonnes","14206","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1984","1984","tonnes","14817","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1985","1985","tonnes","8184","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1986","1986","tonnes","6864","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1987","1987","tonnes","16881","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1988","1988","tonnes","21493","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1989","1989","tonnes","19516","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1990","1990","tonnes","19421","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1991","1991","tonnes","19529","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1992","1992","tonnes","18718","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1993","1993","tonnes","23881","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1994","1994","tonnes","30806","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1995","1995","tonnes","51238","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1996","1996","tonnes","64158","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1997","1997","tonnes","89639","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1998","1998","tonnes","110469","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","1999","1999","tonnes","117845","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2000","2000","tonnes","108000","F","FAO estimate"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2001","2001","tonnes","125000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2002","2002","tonnes","113700","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2003","2003","tonnes","109800","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2004","2004","tonnes","120000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2005","2005","tonnes","144400","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2006","2006","tonnes","155100","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2007","2007","tonnes","172500","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2008","2008","tonnes","190400","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2009","2009","tonnes","191000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2010","2010","tonnes","263500","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2011","2011","tonnes","302000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2012","2012","tonnes","354600","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2013","2013","tonnes","315000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","51","Beer of barley","2014","2014","tonnes","347000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1961","1961","tonnes","67131","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1962","1962","tonnes","33700","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1963","1963","tonnes","65136","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1964","1964","tonnes","68840","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1965","1965","tonnes","79258","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1966","1966","tonnes","80639","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1967","1967","tonnes","78000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1968","1968","tonnes","62560","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1969","1969","tonnes","76727","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1970","1970","tonnes","86400","","Official data"
"QD","Crops processed","226","Uganda","5510","Production","767","Cotton lint","1971","1971","tonnes","76400","","Official data"
