Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1961","1961","Head","18000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1962","1962","Head","18000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1963","1963","Head","17000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1964","1964","Head","16206","","Official data"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1965","1965","Head","16734","","Official data"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1966","1966","Head","16651","","Official data"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1967","1967","Head","17000","","Official data"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1968","1968","Head","16000","","Official data"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1969","1969","Head","16759","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1970","1970","Head","16500","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1971","1971","Head","17281","","Official data"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1972","1972","Head","17361","","Official data"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1973","1973","Head","16000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1974","1974","Head","16000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1975","1975","Head","16000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1976","1976","Head","16000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1977","1977","Head","16000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1978","1978","Head","16000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1979","1979","Head","16000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1980","1980","Head","16000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1981","1981","Head","16000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1982","1982","Head","16000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1983","1983","Head","16200","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1984","1984","Head","16300","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1985","1985","Head","16400","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1986","1986","Head","16500","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1987","1987","Head","16600","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1988","1988","Head","16700","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1989","1989","Head","16800","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1990","1990","Head","16900","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1991","1991","Head","17000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1992","1992","Head","17100","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1993","1993","Head","17200","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1994","1994","Head","17300","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1995","1995","Head","17400","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1996","1996","Head","17500","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1997","1997","Head","17600","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1998","1998","Head","17700","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","1999","1999","Head","17800","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2000","2000","Head","17900","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2001","2001","Head","17900","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2002","2002","Head","17900","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2003","2003","Head","17900","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2004","2004","Head","18000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2005","2005","Head","18200","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2006","2006","Head","18500","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2007","2007","Head","18700","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2008","2008","Head","19000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2009","2009","Head","19100","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2010","2010","Head","19000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2011","2011","Head","19200","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2012","2012","Head","19200","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2013","2013","Head","19200","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2014","2014","Head","19200","F","FAO estimate"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2015","2015","Head","19207","Im","FAO data based on imputation methodology"
"QA","Live Animals","226","Uganda","5111","Stocks","1107","Asses","2016","2016","Head","19454","Im","FAO data based on imputation methodology"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1961","1961","No","37600","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1962","1962","No","37700","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1963","1963","No","37800","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1964","1964","No","37900","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1965","1965","No","38000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1966","1966","No","38100","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1967","1967","No","38200","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1968","1968","No","38300","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1969","1969","No","38400","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1970","1970","No","38500","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1971","1971","No","38600","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1972","1972","No","38700","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1973","1973","No","38700","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1974","1974","No","38737","","Official data"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1975","1975","No","38800","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1976","1976","No","38800","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1977","1977","No","38800","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1978","1978","No","37500","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1979","1979","No","37500","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1980","1980","No","32500","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1981","1981","No","27500","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1982","1982","No","25000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1983","1983","No","37500","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1984","1984","No","42500","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1985","1985","No","45000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1986","1986","No","47000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1987","1987","No","49000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1988","1988","No","51000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1989","1989","No","53000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1990","1990","No","55000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1991","1991","No","57000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1992","1992","No","59000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1993","1993","No","61000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1994","1994","No","63000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1995","1995","No","65000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1996","1996","No","67000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1997","1997","No","69000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1998","1998","No","71000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","1999","1999","No","73000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","2000","2000","No","75000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","2001","2001","No","75000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","2002","2002","No","75000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","2003","2003","No","75000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","2004","2004","No","75000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","2005","2005","No","75000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","2006","2006","No","75000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","2007","2007","No","76000","F","FAO estimate"
"QA","Live Animals","226","Uganda","5114","Stocks","1181","Beehives","2008","2008","No","76500","F","FAO estimate"
