Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1961","1961","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1962","1962","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1963","1963","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1964","1964","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1965","1965","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1966","1966","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1967","1967","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1968","1968","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1969","1969","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1970","1970","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1971","1971","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1972","1972","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1973","1973","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1974","1974","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1975","1975","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1976","1976","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1977","1977","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1978","1978","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1979","1979","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1980","1980","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1981","1981","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1982","1982","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1983","1983","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1984","1984","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1985","1985","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1986","1986","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1987","1987","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1988","1988","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1989","1989","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1990","1990","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1991","1991","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1992","1992","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1993","1993","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1994","1994","tonnes","","M","Data not available"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1995","1995","tonnes","124","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1996","1996","tonnes","24","Im","FAO data based on imputation methodology"
"QP","Livestock Processed","226","Uganda","5510","Production","886","Butter, cow milk","1997","1997","tonnes","143","Im","FAO data based on imputation methodology"
