Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1961","1961","Int. $","34.21","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1962","1962","Int. $","34","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1963","1963","Int. $","37.85","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1964","1964","Int. $","38.98","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1965","1965","Int. $","34.94","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1966","1966","Int. $","36.23","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1967","1967","Int. $","41.72","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1968","1968","Int. $","44.01","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1969","1969","Int. $","49.95","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1970","1970","Int. $","61.67","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1971","1971","Int. $","59.89","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1972","1972","Int. $","61.32","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1973","1973","Int. $","61.71","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1974","1974","Int. $","64.39","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1975","1975","Int. $","68.3","","Official data"
"QI","Production Indices","226","Uganda","432","Gross Production Index Number (2004-2006 = 100)","2051","Agriculture (PIN)","1976","1976","Int. $","63.44","","Official data"
