Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1963","1963","1000 US$","113","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1964","1964","1000 US$","160","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1965","1965","1000 US$","179","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1966","1966","1000 US$","209","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1967","1967","1000 US$","166","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1968","1968","1000 US$","134","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1969","1969","1000 US$","108","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1970","1970","1000 US$","80","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1971","1971","1000 US$","74","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1972","1972","1000 US$","32","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1973","1973","1000 US$","81","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1974","1974","1000 US$","130","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1975","1975","1000 US$","178","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1976","1976","1000 US$","93","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1977","1977","1000 US$","100","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1979","1979","1000 US$","90","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1980","1980","1000 US$","100","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1981","1981","1000 US$","110","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1982","1982","1000 US$","100","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1983","1983","1000 US$","110","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1984","1984","1000 US$","110","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1985","1985","1000 US$","120","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1986","1986","1000 US$","130","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1987","1987","1000 US$","140","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1988","1988","1000 US$","150","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1989","1989","1000 US$","160","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1990","1990","1000 US$","170","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1991","1991","1000 US$","180","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1992","1992","1000 US$","150","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1993","1993","1000 US$","150","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1994","1994","1000 US$","150","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1995","1995","1000 US$","200","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1996","1996","1000 US$","300","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1997","1997","1000 US$","200","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1998","1998","1000 US$","157","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","1999","1999","1000 US$","5","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","2000","2000","1000 US$","232","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","2001","2001","1000 US$","203","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","2002","2002","1000 US$","293","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","2003","2003","1000 US$","453","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455017","Agricultural machinery nes (trade)","2004","2004","1000 US$","511","W","Data reported on country official publications or web sites (Official) or trade country files"
